
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  16 | vnto            |   0.009144 |      0.91%
  17 | lande           |   0.008969 |      0.90%
  18 | lyke            |   0.008761 |      0.88%
  19 | nowe            |   0.008239 |      0.82%
  20 | lorde           |   0.007515 |      0.75%

######## Topic 26 ########
Documents: 36 (4.87%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | church          |   0.006996 |      0.70%
   2 | earl            |   0.006043 |      0.60%
   3 | bishop          |   0.005097 |      0.51%
   4 | st              |   0.004486 |      0.45%
   5 | year            |   0.004271 |      0.43%
   6 | altar           |   0.003993 |      0.40%
   7 | built           |   0.003791 |      0.38%
   8 | henry           |   0.003680 |      0.37%
   9 | pope            |   0.003459 |      0.35%
  10 | city            |   0.003232 |      0.32%
  11 | famous          |   0.003110 |      0.31%
  12 | picture         |   0.003109 |      0.31%
  13 | family          |   0.003045 |      0.30%
  14 | italy           |   0.002928 |      0.29%
